kliniczna,Psychologia kliniczna,"Dziedzina psychologi zajmująca się określeniem warunków zachowania zdrowia psychicznego, poszukiwaniem przyczyn powodujących zaburzenia, diagnozowaniem oraz prowadzenie terapii.
"
kliniczna,Uogólnione zaburzenia lękowe,"Doświadczanie nasilonego lęku i niepokoju przez większość dnia wraz z następującymi objawami: poczuciem bezradności lub osaczenia, zaburzeniem koncetracji, drażliwością, napięciem mięśni."
kliniczna,Fobia,"Nadmierny lęk pojawiający się podczas bezpośredniego kontaktu
z pewną konkretną sytuacją czy obiektem. "
kliniczna,Fobia społeczna,"Obejmuje lęk i jego objawy m.in. rumienieniem się, drżeniem rąk, poceniem się, drżeniem głosu lub wręcz niemożnością prawidłowego wysławiania się, które wyzwalane są obecnośią innych osób (szczególnie obcych).
"
kliniczna,Agorafobia,"Lęk przed otwartą przestrzenią oraz sytuacjami związanymi z byciem w zatłoczonych miejscach, podróżowaniem środkami komunikacji miejskiej, przebywaniem w zamkniętym obiekcie ( np. kino czy kościół)."
kliniczna,Hemofobia,Lęk przed widokiem krwi.
kliniczna,"Ofidiofobia
",Lęk przed wężami.
kliniczna,Brontofobia,Lęk przed burzą.
kliniczna,Erytrofobia,"Ciągła obawa przed znalezieniem się  w sytuacji, która powoduje silny lęk i czerwienienie się, zwykle twarzy i szyi. U osób z tym zaburzeniem występuje unikanie kontaktu wzrokowego z innymi, zwłaszcza podczas objawu zaczerwienienia."
kliniczna,Epizodyczny lęk napadowy,"Częste ataki silnego lęku z licznymi objawami somatycznymi — dusznością, kołataniem i bólem serca oraz uczuciem, że jest się w sytuacji zagrożenia.
Napad lęku zazwyczaj trwa nie dłużej niż 20-30 minut.  "
kliniczna,Panika,"Charakteryzuje się niespodziewanym i nagłym wystąpieniem wielorakich objawów takich jak: trudności w oddychaniu, ból w klatce piersiowej, uczucie dławienia i oszołomienia, pocenie się, drżenie i dygotanie. 
Ataki zdarzają się raz w tygodniu lub częściej. Wywołane są określoną sytuacją lub niezależnie od sytuacji."
kliniczna,Natręctwa,"Niekontrolowane doświadczanie nawracających, przykrych i niechcianych myśli lub przymus jednostki do powtarzania określonych czynności. "
kliniczna,Kompulsje ,"Przymus wykonywania czynności, których celem jest obniżenie lęku i dyskomfortu spowodowanego obsesyjnymi myślami lub zapobiegnięcie jakiemuś nieszczęściu. Najczęściej dotyczą: mycia, sprawdzania, porządkowania, sprzątania."
kliniczna,Obsesje,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer vitae rutrum metus. Nullam vel blandit magna, eu bibendum velit. Vivamus quis luctus nibh, elementum porta eros. Aenean sollicitudin convallis consectetur. Duis semper sapien in mi bibendum, eu luctus turpis ornare. Vivamus massa nunc."
kliniczna,Lorem Ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer vitae rutrum metus. Nullam vel blandit magna, eu bibendum velit. Vivamus quis luctus nibh, elementum porta eros. Aenean sollicitudin convallis consectetur. Duis semper sapien in mi bibendum, eu luctus turpis ornare. Vivamus massa nunc."
kliniczna,Stres pourazowy,"Uporczywie powracające wspomnienia minionych zdarzeń, silny niepokój, bezsenność, a nawet myśli i próby samobójcze. Stan gotowości do walki z zagrożeniem jest bardzo wyczerpujący."
kliniczna,Stres biologiczny (fizjologiczny),Zespół zmian fizjologicznych organizmu pojawiających się wskutek działania bodźców szkodliwych.
kliniczna,Stres psychologiczny,Zmiany występujące w psychicznych mechanizmach regulacyjnych pod wpływem sytuacji trudnych.
kliniczna,Psychiatria,"Jedna z podstawowych specjalizacji medycznych, zajmująca się badaniem, zapobieganiem i leczeniem zaburzeń i chorób psychicznych. Różni się od psychologii faktem, iż jest ona nauką medyczną, psychologia zaś według podziału klasycznego jest subdyscypliną filozoficzną, która obecnie wyrosła na samodzielną naukę społeczną."
kliniczna,Psychometria,"Dział psychologii, który zajmuje się teorią i praktyką stosowania testów psychologicznych."
kliniczna,Diagnoza epigenetyczna,"Forma diagnozy, która ma za zadanie określić jakie czynniki biologiczne, społeczne i psychiczne mają wpływ na kształtowanie się u osoby zdrowia bądź zaburzenia psychicznego i jaki był on w poszczególnych etapach cyklu życia jednostki. "
kliniczna,Schizofrenia,"Zaburzenie psychiczne związane z błędnym postrzeganiem rzeczywistości, często prowadzącym do psychozy. Przyjmuje się, że schizofrenia należy do chorób cywilizacyjnych."
kliniczna,Choroby somatyczne,Specyficzne zaburzenia działania organizmu ludzkiego mające bezpośredni związek z problemami psychicznymi.
kliniczna,Depresja,"W języku codziennym odnosi się do złego samopoczucia, obniżonego nastroju, przygnębienia niezależnie od przyczyn tego stanu. W psychiatrii terminem tym określa się szczególny rodzaj zaburzeń nastroju i emocji, mianowicie takie, które można uznać za zjawisko chorobowe, a więc wymagajace pomocy lekarskiej."
kliniczna,Dystymia,"Utrwalone zaburzenie nastroju wykazujące zmienne nasilenie, ale zwykle nie osiąga nasilenia uprawniającego do rozpoznania epizodu depresyjnego. Objawy utrzymują się przez wiele lat, niekiedy przez większą cześć życia, są przyczyna złego samopoczucia i ogólnej niesprawności."
